ID_ENTIDAD	GUID_ENTIDAD	RUC	RAZON_SOCIAL	NOMBRE_COMERCIAL	ID_ESTADO	BIT_ACTIVO
317	272404F2-8D94-48AC-A495-33469A4B4E2E	07557829001	UNIVERSIDAD COMERCIAL 6647 SAC	UNIVERSIDAD COMERCIAL 6647	2	1
316	84A19843-5FC7-4647-8EDF-EDF80B2BACB8	08312549185	EMPRESA COMERCIAL 7604 SRL	EMPRESA COMERCIAL 7604	2	1
315	78DC7A93-9006-47BE-9E3F-F69F5CF7F897	41369968210	EMPRESA COMERCIAL 7381 SRL	EMPRESA COMERCIAL 7381	2	1
314	87AB5190-EB90-49DF-8DF5-10F587B55025	86273392140	UNIVERSIDAD COMERCIAL 9405 EIRL	UNIVERSIDAD COMERCIAL 9405	2	1
313	423B804C-669B-41DF-94B1-389747D59A36	82108866230	CORPORACION COMERCIAL 2990 EIRL	CORPORACION COMERCIAL 2990	2	1
312	9E4A78EE-7CC1-47F6-BD5D-B6A6259C8515	57538567641	INDUSTRIA COMERCIAL 2609 SAC	INDUSTRIA COMERCIAL 2609	2	1
311	1A1AA185-ABE1-4B15-B33F-5818F8E66CC6	62465812143	CONSORCIO COMERCIAL 9453 EIRL	CONSORCIO COMERCIAL 9453	2	1
310	86BFAF98-200B-469A-B950-9FAA0E91FE3E	34967957775	CORPORACION COMERCIAL 9025 SAC	CORPORACION COMERCIAL 9025	2	1
309	11887EC5-3881-43CE-8F4B-4EDF3F91A441	19154458395	INDUSTRIA COMERCIAL 3529 SAA	INDUSTRIA COMERCIAL 3529	2	1
308	C08F648F-950B-4DDC-93A6-9948FFC1DB22	06045291676	CORPORACION COMERCIAL 4073 SAA	CORPORACION COMERCIAL 4073	2	1
307	2429DFDC-35C5-4D1B-B012-B5401A77230B	04766618333	EMPRESA COMERCIAL 6425 SAC	EMPRESA COMERCIAL 6425	2	1
306	6C16751F-D62A-4C03-91E4-C1FEF75627AC	55868577353	UNIVERSIDAD COMERCIAL 1050 EIRL	UNIVERSIDAD COMERCIAL 1050	2	1
305	1E8180EC-99E3-464C-AA96-BB8C80D23368	45987454464	Industria del Acero Cromado S.A.C.	industria del Acero Cromado	2	1
